"source_id","source_name","author","title","description","url","url_to_image","published_at","content","top_article","engagement_reaction_count","engagement_comment_count","engagement_share_count","engagement_comment_plugin_count"
"abc-news","ABC News","The Associated Press","US construction spending rose a slight 0.1% in July","""Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.""","https://abcnews.go.com/Business/wireStory/us-construction-spending-rose-slight-01-july-65356888","https://s.abcnews.com/images/Business/WireAP_98c8314369674979a1f94540b5901f20_16x9_992.jpg","2019-09-03T14:04:53Z","""U.S. construction spending ticked up just 0.1% in July, aided by government spending on schools, sewers and the water supply.\r\nThe Commerce Department said Tuesday that spending on construction projects in July occurred at a seasonally adjusted annual pace of… [+622 chars]""",0,0,0,0,0
"reuters","Reuters","Reuters Editorial","""Italy's 5-Star votes in favor of PD coalition, opening way for government""","""Members of the anti-establishment 5-Star Movement backed a proposed coalition with the center-left Democratic Party (PD) on Tuesday, opening the way for a new government to take office in the coming days.""","https://www.reuters.com/article/us-italy-politics-vote-idUSKCN1VO29X","https://s4.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425836059&w=1200&r=LYNXNPEF821MY","2019-09-03T17:30:53Z","""ROME (Reuters) - Members of the anti-establishment 5-Star Movement backed a proposed coalition with the center-left Democratic Party (PD) on Tuesday, opening the way for a new government to take office in the coming days. \r\nIn an online ballot, 79.3% of 5-Sta… [+464 chars]""",0,0,0,869,0
"bbc-news","BBC News",null,"Euro 2020 qualifiers: Aaron Wan-Bissaka out of England squad with back injury","Manchester United full-back Aaron Wan-Bissaka withdraws from the England squad because of a back injury.","https://www.bbc.co.uk/sport/football/49571247","https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/FBA4/production/_108602446_a1.jpg","2019-09-03T15:43:49Z","Aaron Wan-Bissaka joined Manchester United from Crystal Palace in a £50m deal this summer\r\nManchester United full-back Aaron Wan-Bissaka has withdrawn from the England squad because of a back injury.\r\nWan-Bissaka was named in Gareth Southgate's senior side fo… [+426 chars]",0,660,269,36,0
"the-irish-times","The Irish Times",null,"Tesla drivers reportedly locked out of cars after app goes down","""Owners left stranded after app, which some use as keys, is taken down""","https://www.irishtimes.com/business/transport-and-tourism/tesla-drivers-reportedly-locked-out-of-cars-after-app-goes-down-1.4006238","https://www.irishtimes.com/image-creator/?id=1.4006237&origw=1440","2019-09-03T09:53:02Z","""Technology is wonderful until it fails you. Just ask Tesla drivers who were reportedly locked out of their vehicles for several hours yesterday after the app, which many use as a key, was taken down for maintenance.\r\nStranded drivers took to Twitter complaini… [+174 chars]""",0,1,6,2,0
"business-insider","Business Insider","Becky Peterson","Cloudflare eyes $3.5 billion valuation in upcoming IPO","""San Francisco security startup Cloudflare, on Tuesday set a price range for its IPO of $10 to $12 per share. At the high point, the company could be valued at $3.5 billion. Cloudflare is expected to start trading later this month on the New York Stock Exchang…""","https://www.businessinsider.com/cloudflare-sets-price-range-for-ipo-2019-9","https://amp.businessinsider.com/images/5d5599e8cd978440c21e88c3-1136-568.jpg","2019-09-03T13:30:50Z","""Cloudflare, a security startup that protects websites from attacks and helps pages load quickly, set a price range for its upcoming IPO, which could value the San Francisco company as high as $3.5 billion. \r\n In a filing Tuesday, the company said it plans to … [+1382 chars]""",0,14,0,10,0
"the-new-york-times","The New York Times","Laure Fourquet","""As Deaths Mount, France Tries to Get Serious About Domestic Violence""","A woman dies at the hands of her partner every three days in France. But the police often do not take complaints seriously.","https://www.nytimes.com/2019/09/03/world/europe/france-domestic-violence.html","https://static01.nyt.com/images/2019/09/03/world/03france-women1/03france-women1-facebookJumbo.jpg","2019-09-03T15:14:18Z","""Mrs. Douib left her partner six months before she was killed. After the separation, Mr. Garcia repeatedly threatened her, telling her that if she did not leave Corsica and their children she would die.\r\nAccording to her relatives, Mrs. Douib knew it was only … [+1047 chars]""",0,21,5,49,0
"newsweek","Newsweek","Brendan Cole","Hurricane Dorian Path Map Update: Category 3 Storm's Slow Movement Will Make It More Destructive Say Experts","""Experts say calm conditions above the storm are keeping it stationary, meaning that it is wreaking more damage on the Bahamas, as it bears down on the U.S. east coast.""","https://www.newsweek.com/hurricane-dorian-path-map-category-3-slow-movement-destructive-1457283","https://d.newsweek.com/en/full/1524580/hurricane-dorian.jpg","2019-09-03T10:27:36Z","""Hurricane Dorian is wreaking more havoc on the Bahamas because the calm atmosphere above it is keeping it stationary, meteorologists have warned.\r\nIn a counterintuitive analysis of the most powerful Atlantic hurricanes on record, where winds have reached up t… [+2947 chars]""",0,0,0,0,0
"newsweek","Newsweek","Dana Thomas","The Real Cost of Your Blue Jeans","Making the industry's 80 billion garments per year requires huge amounts of water and toxic chemicals. It employs every sixth person on Earth—most in dangerous conditions for very little money.","https://www.newsweek.com/2019/09/20/real-cost-blue-jeans-labor-environment-fashionopolis-book-extract-1457027.html","https://d.newsweek.com/en/full/1524248/cul-fashionopolis-01-969407778.jpg","2019-09-03T16:16:54Z","""The biggest fashion trend in recent years is \""fast fashion\""the mass production of trendy, inexpensive clothing with lightning-quick turnaround. This is a hugely wasteful global, environmental and human rights disaster, according to bestselling journalist Dana… [+11566 chars]""",0,0,0,4,0
"abc-news","ABC News","The Associated Press","Feds offers reprieve on immigrant medical care cases","Federal immigration authorities have at least partly reversed course on a controversial decision to stop considering requests for foreign nationals to remain in the country for medical treatment or other special circumstances","https://abcnews.go.com/US/wireStory/feds-offers-reprieve-immigrant-medical-care-cases-65362114","https://s.abcnews.com/images/US/WireAP_edb3739e5b4a4b09bf9a119c2f479f07_16x9_992.jpg","2019-09-03T17:22:44Z","Federal immigration authorities have at least partly reversed course on a controversial decision to stop considering requests for foreign nationals to remain in the country for medical treatment or other special circumstances.\r\nU.S. Citizenship and Immigratio… [+556 chars]",0,0,0,0,0
"reuters","Reuters","Reuters Editorial","'No deal' Brexit would cost at least $16 billion in UK exports losses: U.N.","""Leaving the European Union without a trade deal would cost Britain at least $16 billion in lost exports, and would probably cost far more after indirect effects are taken into account, a report by the U.N. trade agency UNCTAD said on Tuesday.""","https://www.reuters.com/article/us-britain-eu-trade-un-idUSKCN1VO1WK","https://s4.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425801043&w=1200&r=LYNXNPEF821DT","2019-09-03T15:25:15Z","""GENEVA (Reuters) - Leaving the European Union without a trade deal would cost Britain at least $16 billion in lost exports, and would probably cost far more after indirect effects are taken into account, a report by the U.N. trade agency UNCTAD said on Tuesda… [+401 chars]""",0,1,1,1620,0
